"time"; "type"; "msg per second"; "mean"; "median"; "90% percentile"; "99% percentile"; "max";
22:00:47; 103; 37; 205.32432432432432; 208; 222; 292; 292;
22:00:47; 109; 1; 241.0; 241; 241; 241; 241;
22:00:48; 101; 42; 243.66666666666666; 242; 279; 318; 318;
22:00:48; 103; 39; 223.56410256410257; 210; 274; 483; 483;
22:00:49; 111; 5; 212.8; 204; 255; 255; 255;
22:00:49; 101; 68; 248.05882352941177; 242; 292; 312; 312;
22:00:49; 103; 68; 219.60294117647058; 213; 258; 330; 330;
22:00:49; 129; 1; 273.0; 273; 273; 273; 273;
22:00:49; 109; 5; 255.4; 253; 265; 265; 265;
22:00:50; 111; 9; 261.0; 257; 324; 324; 324;
22:00:50; 101; 68; 254.77941176470588; 250; 287; 352; 352;
22:00:50; 103; 67; 213.5820895522388; 209; 254; 278; 278;
22:00:50; 129; 1; 312.0; 312; 312; 312; 312;
22:00:50; 109; 11; 291.27272727272725; 272; 310; 506; 506;
22:00:51; 111; 2; 216.0; 225; 225; 225; 225;
22:00:51; 101; 42; 240.38095238095238; 243; 265; 290; 290;
22:00:51; 103; 48; 208.25; 207; 220; 282; 282;
22:00:51; 129; 1; 299.0; 299; 299; 299; 299;
22:00:51; 109; 1; 243.0; 243; 243; 243; 243;
22:00:52; 111; 1; 223.0; 223; 223; 223; 223;
22:00:52; 101; 52; 244.76923076923077; 241; 277; 330; 330;
22:00:52; 103; 56; 216.16071428571428; 211; 256; 311; 311;
22:00:52; 109; 2; 285.0; 301; 301; 301; 301;
22:00:53; 111; 3; 212.0; 212; 221; 221; 221;
22:00:53; 101; 63; 250.47619047619048; 242; 286; 381; 381;
22:00:53; 103; 56; 214.69642857142858; 211; 261; 329; 329;
22:00:53; 109; 4; 247.0; 250; 256; 256; 256;
22:00:54; 101; 60; 240.5; 240; 260; 306; 306;
22:00:54; 103; 57; 214.50877192982455; 212; 238; 283; 283;
22:00:54; 109; 1; 245.0; 245; 245; 245; 245;
22:00:55; 101; 36; 244.86111111111111; 244; 270; 302; 302;
22:00:55; 103; 34; 208.0; 210; 224; 328; 328;
22:00:56; 101; 50; 244.46; 241; 264; 356; 356;
22:00:56; 103; 51; 220.33333333333334; 208; 269; 402; 402;
22:00:57; 111; 2; 227.5; 231; 231; 231; 231;
22:00:57; 101; 44; 244.79545454545453; 242; 261; 378; 378;
22:00:57; 103; 37; 223.02702702702703; 212; 271; 448; 448;
22:00:57; 109; 1; 241.0; 241; 241; 241; 241;
22:00:58; 101; 47; 243.10638297872342; 243; 270; 285; 285;
22:00:58; 103; 40; 216.175; 211; 269; 328; 328;
22:00:59; 111; 1; 220.0; 220; 220; 220; 220;
22:00:59; 101; 31; 245.6451612903226; 246; 264; 307; 307;
22:00:59; 103; 31; 205.32258064516128; 209; 218; 246; 246;
22:00:59; 109; 1; 256.0; 256; 256; 256; 256;
22:01:00; 111; 16; 241.375; 231; 325; 337; 337;
22:01:00; 101; 41; 254.3658536585366; 245; 282; 332; 332;
22:01:00; 103; 40; 230.925; 216; 312; 499; 499;
22:01:00; 109; 17; 268.52941176470586; 261; 290; 375; 375;
22:01:01; 111; 2; 237.0; 267; 267; 267; 267;
22:01:01; 101; 47; 242.89361702127658; 245; 260; 286; 286;
22:01:01; 103; 45; 214.53333333333333; 211; 257; 275; 275;
22:01:01; 109; 2; 312.0; 340; 340; 340; 340;
22:01:02; 101; 43; 246.69767441860466; 247; 267; 336; 336;
22:01:02; 103; 44; 219.1590909090909; 212; 258; 317; 317;
22:01:03; 101; 50; 245.34; 242; 275; 314; 314;
